ID,weiboID,commentUID,content,commentTime
657,4, 宝贝宋茜勿忘我, ,10月6日 17:23 
658,4, 宝贝宋茜勿忘我,宝贝爱你 ,10月6日 17:23 
659,4, 宝贝宋茜勿忘我, ,10月6日 17:23 
660,4, 落寞的香菜, ,10月6日 17:21 
661,4, 落寞的香菜,今日表白 ,10月6日 17:21 
662,4, SEOHYUN_KJ,爱 ,10月6日 16:46 
663,4, 宫千缈,回复@羊咩洋杨:她自己说自己爱国还是用苹果 我只想呵呵了 ,10月6日 15:12 
664,4, sy-vickrys24,jdjd ,10月6日 13:31 
665,4, sy-vickrys24,hsjs ,10月6日 13:31 
666,4, sy-vickrys24,jdjs ,10月6日 13:31 
667,4, sy-vickrys24, ,10月6日 13:31 
668,4, 一直陪伴with期待你成功,#宋茜##宋茜公益##中国姑娘宋茜# ,10月6日 00:37 
669,4, 一直陪伴with期待你成功,#宋茜木青寞# ,10月6日 00:37 
670,4, 一直陪伴with期待你成功,#宋茜反转人生# ,10月6日 00:37 
671,4, 一直陪伴with期待你成功,#宋茜幻城##宋茜梨落# ,10月6日 00:37 
672,4, 一直陪伴with期待你成功,#宋茜公益# ,10月6日 00:37 
673,4, 一直陪伴with期待你成功,#宋茜巴黎时装周# ,10月6日 00:37 
674,4, 一直陪伴with期待你成功,#宋茜舞蹈# ,10月6日 00:37 
675,4, 一直陪伴with期待你成功,#宋茜LOEWE品牌挚友# ,10月6日 00:37 
676,4, 一直陪伴with期待你成功,#中国姑娘宋茜# ,10月6日 00:37 
677,4, 一直陪伴with期待你成功,#宋茜# ,10月6日 00:37 
678,4, 你大胆的往前走走走go,晚安??????????????????????????????????#中国姑娘宋茜##宋茜# ,10月6日 00:35 
679,4, -l遂心,茜妞 ,10月5日 18:27 
680,4, 勿忘_qian,#(爱心)#宋茜#  #宋茜巴黎时装周#  #宋茜LOEWE品牌挚友#  #宋茜代言遮天3D手游#  #宋茜代言桃花源记2# ?? #宋茜梨落# ?? #宋茜幻城#  ,10月5日 11:25 
681,4, 勿忘_qian,脚妹真贱 ,10月5日 11:25 
682,4, vic-ll,把以前的补回来 ,10月5日 11:24 
683,4, vic-ll, ,10月5日 11:24 
684,4, 你大胆的往前走走走go,#宋茜#@宋茜 你能美艳，也能娇俏，偶尔开心到凌乱，也会安静的放空发呆，对相关的人和事热情，也对无关的事情淡泊，看似矛盾，却意外的和谐，你多姿多彩，每一种色彩我都爱。 ,10月5日 10:38 
685,4, sy-vickrys24, ,10月5日 09:18 
686,4, sy-vickrys24, ,10月5日 09:18 
687,4, 吴亦凡整容,图片评论 ,10月5日 05:40 
688,4, 宋女神的胖达, ,10月5日 00:38 
689,4, 宋女神的胖达, ,10月5日 00:38 
690,4, 宋女神的胖达, ,10月5日 00:38 
691,4, 宋女神的胖达, ,10月5日 00:38 
692,4, 宋女神的胖达, ,10月5日 00:38 
693,4, 宋女神的胖达, ,10月5日 00:38 
694,4, 宋女神的胖达, ,10月5日 00:38 
695,4, 宋女神的胖达, ,10月5日 00:38 
696,4, 宋女神的胖达, ,10月5日 00:38 
697,4, 宋女神的胖达, ,10月5日 00:37 
698,4, 宋女神的胖达, ,10月5日 00:37 
699,4, 宋女神的胖达, ,10月5日 00:37 
700,4, 羊毛出在yang身上icon,你还会写汉字吗？呵呵呵呵呵呵 ,10月4日 22:23 
701,4, 羊毛出在yang身上icon,宋贱 ,10月4日 22:21 
702,4, 互粉吧微信公众号tfs866,选几个自认为能靠得住的人组成良好、稳固、有力的人际关系的核心。这首选的几个人可以包括自己的朋友、家庭成员和那些在你职业生涯中彼此联系紧密的人。他们构成你的影响力内圈，因为他们能让你发挥所长，而且彼此都希望对方成功。 ,10月4日 21:58 
703,4, markmama有人疼,别打开我纯属被逼的 ,10月4日 20:03 
704,4, 心尖上的你们,对对对，大爱中国，也爱你～茜茜 ,10月4日 15:41 
705,4, LHline,最美的宋茜 ,10月4日 15:22 
706,4, 你咋总恶心我,脚妹再他妈犯贱，你主子就炸了，一个个不要脸的，天天来倒贴碰瓷，你主子要糊了？说好了江湖不见，结果天天来恶心我们，要不要脸，真恶心 ,10月4日 14:06 
707,4, 莫熙儿爱茜, //@宋茜:这才是中国，一点都不能少。 ,10月4日 12:48 
708,4, 用户5873540000,去你妈六丑！中国以前是“葡萄叶”，现在变成了“雄鸡！” ,10月4日 09:11 
709,4, sy-vickrys24, ,10月4日 00:46 
710,4, sy-vickrys24, ,10月4日 00:45 
711,4, sy-vickrys24, ,10月4日 00:45 
712,4, agnes臻宝,路转粉 ,10月3日 23:18 
713,4, 冰v樱花,说的对 ,10月3日 14:27 
714,4, sy-vickrys24,hxhd ,10月3日 10:44 
715,4, sy-vickrys24, ,10月3日 10:44 
